@dataValueAttribs												
precip	0	9999	mm									
@dataSetAttribs												
missingDataVal	-9999											
dataStart	01.01.1985 00:00											
dataEnd	31.12.2006 00:00											
tres	d											
@statAttribVal												
name	Chaurikhark	Sallery	Pakarnas	Chialsa	Aisealukhar	Okhaldunga	Manebhanjyang	Kuruleghat	Sirwa	station_9	station_10	station_14
ID	1202	1219	1203	1220	1204	1206	1207	1210	1224	9	10	14
elevation	2619	2378	1982	2770	2143	1720	1576	497	1662	5000	6600	5300
x	472393.763	458515.2879	457500.707	462059.504	475273.41	450533.23	442700.967	443511.971	438787.987	463086.445	463171.5414	487695.5259
y	3064001.913	3041887.025	3034136.623	3038109.383	3025226.711	3021978.056	3039735.304	3000962.204	3047508.377	3083412.085	3111106.201	3083361.881
dataColumn	1	2	3	4	5	6	7	8	9	10	11	12
@dataVal												
01.01.1985 00:00	3.1	1.5	1	0	0	0	0	0	0	2.343724966	3.316853285	1.848052859
02.01.1985 00:00	1	0	0	0	0	0	0.7	0	0	0.786141157	0.525976956	0.939138949
03.01.1985 00:00	7.1	0	0	0	0	0	0	0	0	4.446128368	1.83161509	4.878851891
04.01.1985 00:00	1	0	0	0	0	0	0	0	3.1	0.640852571	0.248246267	0.666195333
05.01.1985 00:00	0	0	0	2	0	0	0	0.6	0	0.728749335	4.295439243	0.661909699
06.01.1985 00:00	0	5.5	5	6.5	11.5	4.8	0	2.4	0	0.457306534	1.213558316	0.565619588
07.01.1985 00:00	0	0	0	0	0	0	0	0	0	0.01041905	0.067609295	0
08.01.1985 00:00	0	0	0	0	0	0	0	0	0	0.005196109	0.033724245	0
09.01.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
10.01.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
11.01.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
12.01.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
13.01.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
14.01.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
15.01.1985 00:00	0	0	0	0	0	0	0	0	0	0	0	0
