#abc annual data set from leaf river
@{time_format='yyyy'}			

time	precip	runoff	
===================================			
1948	2056.5	955.51
1949	1566.7	652.33
1950	1186.9	393.62
1951	1072.3	213.89
1952	1548.1	549.50
1953	976.6	245.26
1954	1207.9	250.98
1955	1111.3	369.25
1956	1363.5	249.13
1957	1564.9	620.24
1958	1208.3	351.85
1959	1374.2	442.05
1960	1687.0	737.04
1961	1586.4	833.76
1962	939.5	180.08
1963	1433.1	450.80
1964	1477.5	488.97
1965	1362.4	476.09
1966	1180.0	228.47
1967	1292.3	342.95
1968	1383.3	419.21
1969	1181.5	267.62
1970	1629.0	552.81
1971	1293.5	444.49
1972	1936.0	885.89
1973	1838.6	892.19
1974	1714.9	693.83
1975	1313.1	461.67
1976	1552.1	517.70
1977	1362.5	496.83
1978	1866.8	703.44
1979	1717.1	1061.50
1980	1245.2	321.88
1981	1317.3	308.14
1982	1924.4	850.92
1983	1307.4	389.48
1984	1404.2	410.40
1985	1183.4	305.49
1986	1762.6	714.53
