Datum	precip	tmean	obsRO	RD1	RD2	RG1	RG2	QD	QB
1979.11.01 00:00	136.835	0.032	69.853	3.998	17.608	14.012	3.076	21.608	17.089
1979.12.01 00:00	220.706	0.428	174.063	23.255	48.302	33.572	12.804	71.560	46.374
1980.01.01 00:00	100.510	-5.405	45.524	0.085	1.570	17.045	17.309	1.655	34.356
1980.02.01 00:00	144.894	0.137	147.214	4.391	40.860	28.083	21.710	45.255	49.789
1980.03.01 00:00	99.027	-0.073	79.088	2.582	17.023	36.458	30.260	19.605	66.720
1980.04.01 00:00	186.779	2.600	170.876	6.213	49.448	46.755	35.339	55.660	82.098
1980.05.01 00:00	55.043	7.210	139.039	0.407	7.954	34.524	37.074	8.364	71.602
1980.06.01 00:00	154.438	11.377	53.234	0.129	3.803	18.294	31.481	3.929	49.774
1980.07.01 00:00	217.899	11.646	174.797	15.873	45.324	41.086	35.106	61.202	76.193
1980.08.01 00:00	90.388	14.112	50.441	0.000	0.592	21.152	31.915	0.593	53.070
1980.09.01 00:00	88.709	11.682	45.987	0.000	1.534	17.731	28.236	1.534	45.965
1980.10.01 00:00	92.814	4.784	49.178	0.010	2.764	14.722	26.117	2.774	40.841
1980.11.01 00:00	140.110	-0.916	107.403	1.405	17.336	18.207	24.248	18.742	42.456
1980.12.01 00:00	144.478	-3.427	140.632	2.265	22.094	27.563	26.572	24.359	54.136
1981.01.01 00:00	210.811	-4.575	103.016	0.082	5.607	23.315	27.132	5.691	50.447
1981.02.01 00:00	93.279	-3.836	62.870	0.357	8.910	16.894	23.446	9.268	40.340
1981.03.01 00:00	210.341	3.711	452.604	92.634	115.659	31.684	28.778	208.290	60.458
1981.04.01 00:00	112.076	5.001	128.869	12.906	41.049	43.672	34.148	53.956	77.818
1981.05.01 00:00	130.210	10.101	137.580	8.311	27.030	37.506	35.481	35.345	72.990
1981.06.01 00:00	108.849	12.378	64.069	0.003	1.910	22.879	31.552	1.915	54.432
