Date	precip	obsRO
1948.01.01 00:00	2056.5	955.51
1949.01.01 00:00	1566.7	652.33
1950.01.01 00:00	1186.9	393.62
1951.01.01 00:00	1072.3	213.89
1952.01.01 00:00	1548.1	549.50
1953.01.01 00:00	976.6	245.26
1954.01.01 00:00	1207.9	250.98
1955.01.01 00:00	1111.3	369.25
1956.01.01 00:00	1363.5	249.13
1957.01.01 00:00	1564.9	620.24
1958.01.01 00:00	1208.3	351.85
1959.01.01 00:00	1374.2	442.05
1960.01.01 00:00	1687.0	737.04
1961.01.01 00:00	1586.4	833.76
1962.01.01 00:00	939.5	180.08
1963.01.01 00:00	1433.1	450.80
1964.01.01 00:00	1477.5	488.97
1965.01.01 00:00	1362.4	476.09
1966.01.01 00:00	1180.0	228.47
1967.01.01 00:00	1292.3	342.95
1968.01.01 00:00	1383.3	419.21
1969.01.01 00:00	1181.5	267.62
1970.01.01 00:00	1629.0	552.81
1971.01.01 00:00	1293.5	444.49
1972.01.01 00:00	1936.0	885.89
1973.01.01 00:00	1838.6	892.19
1974.01.01 00:00	1714.9	693.83
1975.01.01 00:00	1313.1	461.67
1976.01.01 00:00	1552.1	517.70
1977.01.01 00:00	1362.5	496.83
1978.01.01 00:00	1866.8	703.44
1979.01.01 00:00	1717.1	1061.50
1980.01.01 00:00	1245.2	321.88
1981.01.01 00:00	1317.3	308.14
1982.01.01 00:00	1924.4	850.92
1983.01.01 00:00	1307.4	389.48
1984.01.01 00:00	1404.2	410.40
1985.01.01 00:00	1183.4	305.49
1986.01.01 00:00	1762.6	714.53
